date,state,district,pincode,enrol_0_5,enrol_5_17,enrol_18_plus,bio_update_child,bio_update_adult,demo_update_child,demo_update_adult,suspicion_score
2025-03-01,Delhi,North West Delhi,110086,0.0,0.0,0.0,2845.0,5346.0,1054.0,9601.0,5346.0
2025-04-01,Delhi,North West Delhi,110086,0.0,0.0,0.0,5180.0,7625.0,1938.0,11133.0,7625.0
2025-05-01,Delhi,North West Delhi,110086,0.0,0.0,0.0,3397.0,5512.0,0.0,0.0,5512.0
2025-06-01,Delhi,North West Delhi,110086,0.0,0.0,0.0,2490.0,4531.0,880.0,5509.0,4531.0
2025-07-01,Delhi,North West Delhi,110086,0.0,0.0,0.0,3097.0,5408.0,1461.0,6318.0,5408.0
2025-09-01,Delhi,North West Delhi,110086,32.0,11.0,0.0,106.0,157.0,24.0,167.0,157.0
2025-09-01,Delhi,North West Delhi,110086,32.0,11.0,0.0,106.0,157.0,24.0,167.0,157.0
2025-11-01,Delhi,North West Delhi,110086,10.0,5.0,2.0,103.0,110.0,18.0,156.0,36.66666666666666
2025-11-01,Delhi,North West Delhi,110086,10.0,5.0,2.0,103.0,110.0,18.0,156.0,36.66666666666666
2025-12-01,Delhi,North West Delhi,110086,0.0,0.0,0.0,116.0,144.0,0.0,0.0,144.0
2025-09-02,Delhi,North West Delhi,110086,31.0,6.0,1.0,98.0,164.0,29.0,134.0,82.0
2025-09-02,Delhi,North West Delhi,110086,31.0,6.0,1.0,98.0,164.0,29.0,134.0,82.0
2025-11-02,Delhi,North West Delhi,110086,54.0,11.0,0.0,110.0,142.0,17.0,90.0,142.0
2025-12-02,Delhi,North West Delhi,110086,0.0,0.0,0.0,174.0,169.0,27.0,266.0,169.0
2025-09-03,Delhi,North West Delhi,110086,25.0,11.0,0.0,116.0,151.0,20.0,117.0,151.0
2025-09-03,Delhi,North West Delhi,110086,25.0,11.0,0.0,116.0,151.0,20.0,117.0,151.0
2025-11-03,Delhi,North West Delhi,110086,19.0,4.0,0.0,118.0,139.0,25.0,195.0,139.0
2025-11-03,Delhi,North West Delhi,110086,19.0,4.0,0.0,118.0,139.0,25.0,195.0,139.0
2025-12-03,Delhi,North West Delhi,110086,0.0,0.0,0.0,125.0,198.0,42.0,262.0,198.0
2025-09-04,Delhi,North West Delhi,110086,49.0,18.0,0.0,134.0,178.0,35.0,119.0,178.0
2025-11-04,Delhi,North West Delhi,110086,1.0,0.0,0.0,105.0,150.0,21.0,135.0,150.0
